id,SKU,TITLE,Status,URL
4993,",","iPhone 6G Charging Flex Copy Silver",2,http://www.g-sp.se/foretag/iphone-6g-charging-flex-copy-silver-5376?SID=irfg5e6qkkn9hofc4qndgmrgq7
5598,",4897058381177","6/6S Icare Cow Leather Black Case",2,http://www.g-sp.se/foretag/6-6s-icare-cow-leather-black-case?SID=irfg5e6qkkn9hofc4qndgmrgq7
4963,",4897058382280","6S/6G Lamb Line Case Black With Wallet",2,http://www.g-sp.se/foretag/6s-6g-lamb-line-case-black-with-wallet?SID=irfg5e6qkkn9hofc4qndgmrgq7
4964,",4897058382297","6S/6G Lamb Line Case Brown With Wallet",2,http://www.g-sp.se/foretag/6s-6g-lamb-line-case-brown-with-wallet?SID=irfg5e6qkkn9hofc4qndgmrgq7
4965,",4897058382303","6S/6G Lamb Line Case Blue With Wallet",2,http://www.g-sp.se/foretag/6s-6g-lamb-line-case-blue-with-wallet?SID=irfg5e6qkkn9hofc4qndgmrgq7
4966,",4897058382310","6S/6G Lamb Line Case Red With Wallet",2,http://www.g-sp.se/foretag/6s-6g-lamb-line-case-red-with-wallet?SID=irfg5e6qkkn9hofc4qndgmrgq7
4987,",4897058382341","Samsung S7 Case Diamond Black",2,http://www.g-sp.se/foretag/samsung-s7-case-diamond-black?SID=irfg5e6qkkn9hofc4qndgmrgq7
5001,",4897058382433","Iphone 6/6S PC Ring Case Black",2,http://www.g-sp.se/foretag/iphone-6-6s-pc-ring-case-black?SID=irfg5e6qkkn9hofc4qndgmrgq7
4975,",4897058382488","6S/6G Cow Line Case With Wallet Red",2,http://www.g-sp.se/foretag/6-6s-cow-line-case-with-wallet-red?SID=irfg5e6qkkn9hofc4qndgmrgq7
4976,",4897058382495","6S/6G Cow Line Case With Wallet Khaki",2,http://www.g-sp.se/foretag/6-6s-cow-line-case-with-wallet-khaki?SID=irfg5e6qkkn9hofc4qndgmrgq7
4977,",4897058382501","6S/6G Cow Line Case With Wallet Brown",2,http://www.g-sp.se/foretag/6-6s-cow-line-case-with-wallet-brown?SID=irfg5e6qkkn9hofc4qndgmrgq7
4978,",4897058382518","6S/6G Cow Line Case With Wallet Black",2,http://www.g-sp.se/foretag/6-6s-cow-line-case-with-wallet-black?SID=irfg5e6qkkn9hofc4qndgmrgq7
5326,",6950290636660","ROCK Rosewood Case for iPhone7",2,http://www.g-sp.se/foretag/rock-rosewood-case-for-iphone-7?SID=irfg5e6qkkn9hofc4qndgmrgq7
5327,",6950290636684","ROCK Black Rosewood Case for iPhone 7",2,http://www.g-sp.se/foretag/rock-black-rosewood-case-for-iphone-7?SID=irfg5e6qkkn9hofc4qndgmrgq7
4945,",6953156247703","Baseus Samsung Note 7 Case Blue",2,http://www.g-sp.se/foretag/baseus-samsung-note-7-case-blue?SID=irfg5e6qkkn9hofc4qndgmrgq7
4944,",6953156247710","Baseus Samsung Note 7 Case Rose Gold",2,http://www.g-sp.se/foretag/baseus-samsung-note-7-case-rose-gold?SID=irfg5e6qkkn9hofc4qndgmrgq7
