"%s was added to your shopping cart.","%s placerades i din varukorg."
"&laquo; Back to Billing Information","Tillbaka till fakturainformation"
"&laquo; Back to Select Addresses","&laquo; Tillbaka till val av adress"
"&laquo; Back to Shopping Cart","&laquo; Tillbaka till varukorg"
"* Required Fields","* Obligatoriska fält"
"Add New Address","&laquo; Lägg till ny adress"
"Add New Condition","Add New Condition"
"Add to Wishlist","Lägg till önskelista"
"Address %s of %s","Adress %s av %s"
"Address","Adress"
"After adding a product redirect to shopping cart","Efter att en produkt har lagts till, omdirigera till varukorg"
"Allow Guest Checkout","Tillåt gäster att använda kassan"
"Already registered?","Redan registrerad?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Använd kupong"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort denna produkt från varukorgen?"
"Back to Shipping Information","Tillbaka till information om leverans"
"Back","Tillbaka"
"Billing Address","Faktureringsadress"
"Billing Information - %s","Fakturainformation - %s"
"Billing Information","Faktureringsadress"
"Can not add item to shopping cart","Det gick inte att lägga produkten i varukorgen"
"Can not apply coupon code.","Det gick inte att använda kupongkoden."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Använd inte kupong"
"Cannot remove item","Det gick inte att ta bort produkten"
"Cannot update shopping cart","Det gick inte att uppdatera varukorgen"
"Card Verification Number Visual Reference","Verifieringsnummer för kort"
"Cart Subtotal:","Summa:"
"Change Billing Address","Ändra faktureringsadress"
"Change","Change"
"Checkbox text","Checkbox text"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","Köpmetod"
"Checkout Options","Alternativ för kassa"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Genomför köp som gäst"
"Checkout as a Guest or Register","Genomför köp som gäst eller registrera dig"
"Checkout with Multiple Addresses","Genomför köp med flera adresser"
"Checkout","Kassa"
"City","Stad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klicka <a href=""%s"" onclick=""this.target='_blank'"">här för att skriva ut</a> en kopia av din orderbekräftelse."
"Click <a href=""%s"">here</a> to continue shopping.","Klicka <a href=""%s"">här</a> för att fortsätta handla."
"Click the order number to review the details of your order and to print a receipt.","Klicka på ditt ordernummer för att se din beställning och skriva ut den."
"Close","Stäng"
"Company","Företag"
"Compare","Jämföra"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Bild för konfigurerbar produkt"
"Confirm Password","Bekräfta lösenord"
"Content Height (css)","Content Height (css)"
"Content Height","Content Height"
"Content","Content"
"Continue Shopping","Fortsätt handla"
"Continue to Billing Information","Fortsätt till fakturainformation"
"Continue to Review Your Order","Fortsätt för att granska din beställning"
"Continue to Shipping Information","Fortsätt till information om frakt"
"Continue","Nästa"
"Country","Land"
"Coupon code ""%s"" is not valid.","Kupongkoden ""%s"" är inte giltig."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Kupongkoden kommer inte att användas."
"Create Billing Address","Skapa faktureringsadress"
"Create Shipping Address","Skapa en leveransadress"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Ett fel uppstod när data skulle sparas"
"Default Billing","Förvald faktureringsadress"
"Default Shipping","Förvald frakt"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Rabattkoder"
"Display Cart Summary","Visa sammanfattning av varukorg"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Visa antal artiklar"
"Display number of items in cart","Visa antal artiklar i varukorg"
"Easy access to your order history and status","Snabb åtkomst till historik och status för dina beställningar"
"Edit Address","Ändra adress"
"Edit Billing Address","Ändra faktureringsadress"
"Edit Items","Ändra artiklar"
"Edit Shipping Address","Ändra leveransadress"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Ändra i din varukorg"
"Edit","Ändra"
"Email Address","E-postadress"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","Ange en ny adress"
"Enter your coupon code if you have one.","Ange din rabattkod om du har någon."
"Enter your destination to get a shipping estimate.","Välj destination för att få en uppskattad fraktkostnad."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Beräkna frakt och moms"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Gå till snabbkassan"
"Fax","Fax"
"Forgot an Item?","Glömt en artikel?"
"Forgot your password?","Glömt ditt lösenord?"
"Get a Quote","Beräkna"
"Grand Total:","Totalt:"
"Grouped product image","Bild för grupperad produkt"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Ogiltig data"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Ogiltigt leveranssätt."
"Items","Artiklar"
"Load customer quote error","Et fel uppstod när offert för kunden skulle laddas"
