id,SKU,price,tier_price
5128,LG5X01,420,380
5127,HUAP9LITE02,365,210
5080,7G09,80,75
5064,1288-9125,93,89
5049,SAMA510F15,15,8
5045,GSP009,200,140
5040,EAC63079601,178,95
5029,HUAP902,400,385
5018,6S01,660,590
5008,GH97-18249A,520,560
4993,,79.2,48
4985,SON540,645,270
4955,4897058381764,74,60
4918,GH59-14339A,10,48
4912,TOOL1009,25,26
4911,TOOL1008,25,26
4910,F210906,260,75
4905,AP138,120,126
4883,6G68A,12,7
4882,6G69,12,8
4880,AP40,126,116
4879,AP136,129,116
4878,AP137,128,116
4875,5S19,185,200
4869,SAMG388F02,125,85
4852,6S34,10,12
4851,6S33,10,8
4849,GH97-18533D,2500,2280
4821,SAMA310F02,90,64
4792,SONM507,386,270
4791,SONM506,390,270
4766,HUAP8L07,310,220
4756,SAMG928F17,89,65
4754,GH97-18533B,1999,2280
4744,GH97-18523D,940,895
4709,GH97-18250A,655,690
4707,SAMG935F11,135,85
4703,SAMG930F11,128,85
4686,HUAH701,320,280
4639,5C51,134,219
4632,5G026,125,175
4623,4897058380804,130,110
4622,AP39,129,116
4535,5SE01,65,54
4524,AP131,128,110
4507,SAMG928F08,26,12
4506,SAMG928F07,15,12
4503,SAMG928F04,12,19
4502,SAMG928F03,12,18
4498,SAMG935F02,190,165
4493,SAMG935F08,16,8
4486,SAMG930F07,62,175
4483,SAMG930F04,110,68
4422,SM641,60,149
4378,BHM1350EFEGXEG,239.2,150
4371,4897058380989,16,10
4370,4897058380972,16,10
4369,4897058380965,16,10
4365,4897058380958,16,10
4364,4897058381047,62,45
4363,4897058381030,57,45
4361,4897058380934,16,13
4351,4897058380835,16,13
4349,4897058380811,16,13
4319,SONZ5C001,470,390
4315,SONZ5002,410,365
4267,GH97-17819B,1480,1450
4266,GH97-17819A,1599,1450
4249,4897058380361,68,63
4248,4897058380330,72,69
4246,4897058380354,78,72
4245,4897058380378,28,26
4244,4897058380347,78,72
4243,4897058380323,72,69
4242,4897058380316,72,69
4237,6S04,59,36
4229,IPAM16,35,26
4189,SONZ5C006,9,8
4186,SONZ5007,9,8
4184,OP002,499.2,245
4112,TOOL-378,30,18
4084,AC Adapter 9,200,120
4083,AC Adapter 8,200,120
4082,AC Adapter 7,200,120
4081,AC Adapter 6,200,120
4043,5S59,2700,1350
4032,IPAM03,295,303
3989,6SP03,155,145
3988,6SP19,178,47
3974,AP116,290,215
3968,6S19,55,49
3967,6S17,55,49
3955,6S05,58,36
3908,GH97-15959B,1500,610
3898,SAG92521,15,19
3726,5S07,23,22
3725,IPAF14,28,19
3636,4897058380156,24,18
3635,4897058380170,30,35
2240,SON477,19,14
2234,SON471,500,405
2203,SAG92019,10,12
2166,6P46,60,59
2165,6P16,29,27
2164,6P19,29,27
1251,T602038,119.2,40
1229,GH97-17260C,1040,990
1225,GH97-17260A,990,980
1224,GH97-17260B,980,970
1223,gh97-15959a,1050,610
1196,SAG92006,45,55
1191,SAG92509,10,25
1182,SAG92506,49,65
1177,SAG92513,32,45
1152,LG45,383,320
1148,6G22,24,20
1143,6G45,17,18
1130,6P11,75,70
1129,6P12,30,26
1128,6P13,37,35
1126,6P17,48,41
1117,6P41,62,51
1109,6G17,28,24
1094,885909627561,120,59
1093,6G08,26,24
1088,Ac-Adapter,200,120
1077,AP100,10,7
1067,AP109,24,38
1066,AP110,32,56
1064,AP111,36,35
1062,AP113,36,35
1061,AP114,24,32
1060,AP115,19,36
1055,AP35,410,384
989,5S45,8,7
962,5S13,28,21
960,5S12,26,0
946,5S05,45,36
943,5S04,38,33
940,5S03,35,24
903,GH97-15209E,1206,990
901,GH97-15959D,1650,610
898,GH97-16147D,539,516
897,GH97-16386A,562,503
896,GH97-16386B,562,503
895,GH97-16386C,562,516
889,GH97-17162A,1560,1430
888,GH97-17162B,1700,1450
886,GH97-17162C,1560,1420
877,GSP006,135,94
742,4S27,3,2
736,HT328,90.45,89
675,IPAF22,32,21
659,IPAF44,198,130
657,IPAF47,78,65
643,IPAM09,17,24
642,IPAM10,58,36
641,IPAM11,60.3,54
584,LG80,138,110
518,4897058380262,40,32
492,SM115,32,45
491,SM119,187.6,187
420,SM302,24,18
418,SM306,24,38
412,SM313,12,40.2
379,SM410,58,65
375,SM417,190,185
368,SM426,55.28,45
362,SM516,195,185
291,SON375,420,345
279,SON39,381.9,199
227,SON466,239,119
126,T605014,119.2,35
